duration,orig_bytes,resp_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,icmp,tcp,udp
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
2.998804,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
0.001239,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
-1.0,,,1.0,40.0,0.0,0.0,False,False,True
2.999051,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
2.998796,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
2.9993,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
2.993548,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
2.998807,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
2.99905,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
2.999302,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
2.999057,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
2.999068,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
2.998813,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
-1.0,,,1.0,60.0,0.0,0.0,False,True,False
0.99871,0.0,0.0,2.0,120.0,0.0,0.0,False,True,False
2.998805,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
2.998806,0.0,0.0,3.0,180.0,0.0,0.0,False,True,False
