duration,orig_bytes,resp_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,icmp,tcp,udp,label
0.013734,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
0.001495,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
0.009734,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Benign
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
-1.0,,,1.0,40.0,0.0,0.0,False,True,False,Okiru
