duration,orig_bytes,resp_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,icmp,tcp,udp,label
0.001746,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
1.143354,152.0,100178.0,73.0,4696.0,71.0,100982.0,False,True,False,Benign
0.001499,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
0.001498,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
0.000747,39.0,103.0,1.0,67.0,1.0,131.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
5.004134,78.0,0.0,2.0,134.0,0.0,0.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
0.001497,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
0.075706,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
0.027465,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
0.001746,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
0.001497,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
0.05071,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
0.001997,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
0.073456,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
0.001746,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
0.001732,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
0.126682,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
0.033726,48.0,48.0,1.0,76.0,1.0,76.0,False,False,True,Benign
-1.0,,,1.0,76.0,0.0,0.0,False,False,True,Benign
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
-1.0,,,0.0,0.0,0.0,0.0,False,True,False,DDoS
